Year,Production (Million Tons)
2000,1074
2001,1128
2002,1094
2003,1072
2004,1112
2005,1131
2006,1163
2007,1147
2008,1172
2009,1075
2010,1084
2011,1096
2012,1016
2013,985
2014,1000
2015,896
2016,739
2017,775
2018,755
2019,705
